BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,ADDRESS_GUID_ID,BP_ID,COMPANY_NAME
Supplier,info@kappatech.com,+1-555-456-7890,+1-555-456-7891,www.kappatech.com,addr-034,BP034,Kappa Technologies
Customer,contact@lambdaservices.com,+1-555-567-8901,+1-555-567-8902,www.lambdaservices.com,addr-035,BP035,Lambda Services
Supplier,sales@musolutions.com,+1-555-678-9012,+1-555-678-9013,www.musolutions.com,addr-036,BP036,Mu Solutions
Customer,info@nucorp.com,+1-555-789-0123,+1-555-789-0124,www.nucorp.com,addr-037,BP037,Nu Corporation
Supplier,contact@xitech.com,+1-555-890-1234,+1-555-890-1235,www.xitech.com,addr-038,BP038,Xi Technologies
Customer,sales@omicroninc.com,+1-555-901-2345,+1-555-901-2346,www.omicroninc.com,addr-039,BP039,Omicron Inc.
Supplier,info@pisystems.com,+1-555-012-3456,+1-555-012-3457,www.pisystems.com,addr-040,BP040,Pi Systems
Customer,contact@rhotech.com,+1-555-123-4567,+1-555-123-4568,www.rhotech.com,addr-041,BP041,Rho Technologies
Supplier,sales@sigmacorp.com,+1-555-234-5678,+1-555-234-5679,www.sigmacorp.com,addr-042,BP042,Sigma Corporation
Customer,info@tauservices.com,+1-555-345-6789,+1-555-345-6790,www.tauservices.com,addr-043,BP043,Tau Services
Supplier,contact@upsilontech.com,+1-555-456-7890,+1-555-456-7891,www.upsilontech.com,addr-044,BP044,Upsilon Technologies
Customer,sales@phisystems.com,+1-555-567-8901,+1-555-567-8902,www.phisystems.com,addr-045,BP045,Phi Systems
Supplier,info@chicorp.com,+1-555-678-9012,+1-555-678-9013,www.chicorp.com,addr-046,BP046,Chi Corporation
Customer,contact@psiservices.com,+1-555-789-0123,+1-555-789-0124,www.psiservices.com,addr-047,BP047,Psi Services
Supplier,sales@omegasolutions.com,+1-555-890-1234,+1-555-890-1235,www.omegasolutions.com,addr-048,BP048,Omega Solutions
Customer,info@alphatech.com,+1-555-901-2345,+1-555-901-2346,www.alphatech.com,addr-049,BP049,Alpha Technologies
Supplier,contact@betacorp.com,+1-555-012-3456,+1-555-012-3457,www.betacorp.com,addr-050,BP050,Beta Corporation
